address,balance
0x89558834c3169191946dd22ebc9a068101c6a72b,4321291584411441000000000
0xe8575e787e28bcb0ee3046605f795bf883e82e84,1282030810403548000000000
0x3a8b567b7ca29bd79e617103b333c43d45c4ef76,783494902945916900000000
0xb2e7dcc6d24047b29583eae70e02c6933c202c76,636054528001411400000000
0x9c90562b8283623b2636630ae7cc6b61d68b49ff,564359744432902900000000
0x59fa29f3dc7e1cbbd2ba549a2a1bab3212bb6385,522552402755546400000000
0x1266bc91e136333d977c5ac56ea9cda1deb32c01,496546735392668070000000
0xab20d76e9007165ea4271cf2be365c9a06bf5468,439906156476403060000000
0xa4793e13f77bf49dea75423ecc858829d4262a4b,426094690651512700000000
0xbdd2d799ce3e1d0e4987448dcb1d054962a855b6,413587497465157870000000
0x5bf6985e5cc4e2f2b2aae1ea36bf9e6a0aad0f08,403942945299899760000000
0x3b87a94ea3d8078cd55f234d83ed2ca365f500a5,380705680951526940000000
0xfa1644156bdc330cc8df279a84c3b33c87a464ea,358892490898967600000000
0x77cf26dccbcd73beef4a3c3e2a0b336968554f84,346894386128137100000000
0x17489f1d449db1e74bc13230eaad07337e52bc8a,339044864330318700000000
0x5e3794f30a249646e6d4921ea6803e1bbef676f0,336339365529856600000000
0x4c12b2e42cda23a526d77a4f7947202f28f190ee,295252227443410040000000
0x0bbec32ed551c9cf2820f4bdf1d6d4ad12b8afe5,290931516065772830000000
0x130de2dfb57bda4c1e15b6fec3c1a0897aa3b6d5,290931516059930700000000
0x501b16f42b6e3bbbe173843dbb9accf8b56a7ad9,290931516042538400000000
0x4cdcd45ec0c385af660e6534b52871cb769021bf,290931516030853400000000
0x6abea3970a4756dc6ec02d4dfc145453bdfd65a0,290931516028000100000000
0x96e47c15801016ae5cb61a7852c51e41c34ca44c,290931516016315400000000
0xf89b7761ee488f15a38430d35732e92982342584,266498177150000000000000
0x95880f2e70203f759168665feb6948e81fe5df77,252216523377078800000000
0x9077d5e6bdd00a842e59b8ee6d4e007a85d8b36b,238021237440000000000000
0x3384e2d432acd178d26c76f56fb17e17c18ee760,234381518045585200000000
0xbfba343dcabbcbcdc620029398f0586e5909a2d5,234381516042664100000000
0xafbea4c526efd46d989e705f5dbfd2c8cd81df41,234381516042664100000000
0x8e24bc98de4c08c54ef364305a105551971886cd,234381516036889100000000
0x6993bc74575eb01c46699a3fd4647d40e5f97c21,222436587954479800000000
0xd2b0226b8d3f39540ca31406445862268781bed6,221800647068693900000000
0x538527f25817ab925e7132939124ece196c30127,221800647068693900000000
0x75a5602c51ee5cea69d92966c9026d9e194811a5,217565653586649120000000
